RegionID,RegionName,RegionType,StateName,2020-10,2020-11,2020-12,2021-01
26140,Newport News,City,VA,200784.0,203107.0,205609.0,207765.0
38333,El Cajon,City,CA,579029.0,589166.0,599574.0,610001.0
10843,Clarksville,City,TN,196750.0,199061.0,201609.0,204083.0
32179,Jackson,City,MS,48653.0,49718.0,51033.0,52434.0
17950,Elk Grove,City,CA,492388.0,498908.0,505793.0,512348.0
40298,Peoria,City,AZ,333085.0,338864.0,345077.0,352263.0
41114,Sugar Land,City,TX,321733.0,323704.0,326749.0,329682.0
39931,Naperville,City,IL,405259.0,407485.0,409919.0,411766.0
4655,Fairfax,City,VA,606718.0,611404.0,616536.0,623215.0
30559,Boynton Beach,City,FL,279010.0,280945.0,282937.0,284941.0
41256,Topeka,City,KS,128795.0,129976.0,131114.0,132195.0
32783,McKinney,City,TX,343865.0,346530.0,349852.0,352157.0
39312,Lafayette,City,LA,175765.0,177097.0,177933.0,178182.0
19892,Pembroke Pines,City,FL,333664.0,336762.0,340252.0,343010.0
38328,Edmond,City,OK,250200.0,251616.0,253114.0,254527.0
25483,Lakeland,City,FL,192547.0,194792.0,196587.0,198904.0
47250,Pueblo,City,CO,217893.0,220331.0,222914.0,225312.0
7221,Springfield,City,MA,193036.0,196685.0,200294.0,204520.0
6286,Odessa,City,TX,180880.0,180129.0,179533.0,179203.0
182023,Henrico,City,VA,271546.0,273856.0,276603.0,279339.0
31184,Dayton,City,OH,73933.0,75028.0,76093.0,77401.0
19360,Midland,City,TX,260540.0,260031.0,260326.0,260079.0
5519,Lakewood,City,CO,473050.0,478783.0,484557.0,490592.0
44821,Cumming,City,GA,369301.0,373930.0,378537.0,383345.0
10071,Alexandria,City,VA,567603.0,571873.0,575631.0,579588.0
41324,Tyler,City,TX,171184.0,172603.0,173704.0,174858.0
20008,Pomona,City,CA,483874.0,488892.0,494022.0,498858.0
21114,Visalia,City,CA,271448.0,275728.0,279978.0,284607.0
38119,Cypress,City,TX,277293.0,279888.0,282589.0,285873.0
26857,Round Rock,City,TX,319586.0,326600.0,333381.0,337955.0
8097,Ann Arbor,City,MI,395975.0,398829.0,400604.0,401979.0
14634,Whittier,City,CA,603253.0,610027.0,616201.0,622369.0
39191,Kansas City,City,KS,128332.0,131329.0,134508.0,137138.0
54626,Sunnyvale,City,CA,1725933.0,1740923.0,1760080.0,1771383.0
32060,Hollywood,City,FL,308025.0,311016.0,314384.0,317078.0
25514,Las Cruces,City,NM,191035.0,193855.0,196512.0,198799.0
4521,Edinburg,City,TX,140870.0,142348.0,143656.0,144684.0
44734,Conroe,City,TX,232122.0,234627.0,236612.0,238876.0
398300,Lansing,City,MI,110344.0,111955.0,113540.0,114967.0
20555,South Bend,City,IN,118553.0,120455.0,122554.0,124975.0
51297,Cary,City,NC,396453.0,399704.0,403815.0,409317.0
19873,Paterson,City,NJ,330968.0,335401.0,339155.0,342658.0
19865,Pasadena,City,TX,170572.0,172258.0,173800.0,175494.0
35282,Beaumont,City,TX,122115.0,123148.0,123983.0,124798.0
28065,Yuma,City,AZ,192662.0,195612.0,198339.0,201075.0
18208,Frisco,City,TX,427894.0,431302.0,435625.0,439212.0
10918,Columbia,City,MO,206792.0,207999.0,209713.0,211553.0
7353,Syracuse,City,NY,129632.0,131456.0,133115.0,134940.0
47019,Pasadena,City,CA,922167.0,928933.0,934981.0,941844.0
3806,Bridgeport,City,CT,223702.0,228820.0,233392.0,238405.0
32626,Macon,City,GA,95320.0,96526.0,97827.0,99448.0
51260,Canton,City,OH,117351.0,118669.0,120034.0,121316.0
6183,Newark,City,DE,264212.0,267421.0,270678.0,274025.0
12694,Mesquite,City,TX,198146.0,200320.0,202700.0,204027.0
13480,Renton,City,WA,559768.0,565396.0,569308.0,572100.0
5914,Metairie,City,LA,287303.0,288855.0,289297.0,290142.0
47570,Santa Maria,City,CA,443860.0,448940.0,453456.0,458123.0
54722,Torrance,City,CA,913402.0,920571.0,927740.0,934533.0
